musicId,trackName,artists
7339579547526236960,CARNIVAL (feat. Playboi Carti),"¥$, Kanye West, Ty Dolla $ign & Rich The Kid"
7210566578298899205,Tu Eres una Celosa Yo No Soy Celosa,Ingrid Laien & Los del fino
7355583476764019499,My6,Cobra93
7358091563601431342,The Lamp Is Low,Laurindo Almeida
7352978565412997930,POKÉDANCE,Nanahira & Yuki Honda
7357094227999722282,Wanna Be (Sped Up),GloRilla & Megan Thee Stallion
6936644952348706817,Playboy,Jx.Zero
7308860379479427845,Skyfall,Adele
7086441016861035310,Nice & Slow (feat. Lil Dred),Ball Greezy
7292703191300590338,San Juanito Parrandero,Grupo Ju-Juy
7354420391533759275,kompa pasión,фрози
7317110228129991467,Caseoh,ØM3C
6751217457349789697,Harness Your Hopes (B-side),Pavement
7347251625276279598,Wait Me,Tea Drinkers
7331460010465184555,Baddie Friend (Two Bad Bitches) [feat. House of Evo],"Kevo Jefé, Casa Di & Steve Terrell"
7200580400048032554,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic
7271683616785091374,Make Up!,ANRI Beats
7339753596852521771,Pbj (MIXX),ProdByTTK
7293182558165436418,Someday I'll Get It,Alek Olsen
7345639568924117762,#Sweetladychallenge,lewy bluestrips & Lew Mr. Blue
7299302931898304513,Happy New Year,Charlotte Fenna
7353434407434226478,Little Bit,Lykke Li
7105817928703953670,Playground Love (feat. Gordon Tracks),Air
7317332950553512734,No Extensions,Lil Dre6o & Lil RT
7116400670005872641,Epic Inspiration,Dm Production
7335881352522238752,Tokyo,Leat'eq
6965640046342867717,Running Away,"VANO 3000, BADBADNOTGOOD & Samuel T. Herring"
7351077426023877406,"Wipe Me Down (feat. Webbie, FOXX & Boosie Badazz) [Remix]",Trill Family
7351432745414085419,The Lamp Is Low,Laurindo Almeida
7088056064922389290,Sge Sa x Rtm Nia (Get in mode 2),CGM Sa
6827296743470746370,Dưới Quê Vui Hơn,Lương Khánh Vy
7302758042743966470,Run the World (Girls),Beyoncé
6925838347315546886,Gamez,Bei Maejor Feat. Keri Hilson
7283686272948783873,Tumblr Girls (feat. Christoph Andersson),G-Eazy
7325658348771085062,FE!N (feat. Playboi Carti),Travis Scott
7241276259123775490,Perfect,Ed Sheeran
7333401722817465131,Tell Ur Girlfriend (Slowed),Lay Bankz
6696503953032480769,Play That Funky Music,Wild Cherry
6967418269091269382,Thrill of It (INFECTED VERSION),FCKSURGE
7227623804904885038,Solo,Future
7360693161598946094,My Planet Needs Me,Geometric Serious
7357445756661451563,BOP (feat. GloRilla),Big Boogie & DJ Drama
7244341459519457281,CLEARED - Remix,Lilithzplug
7343034830923401218,Talk My Shit,Bossman Dlow
7268544136268679170,Lil Boo Thang,Paul Russell
7316470685620472582,Unreleased (Slowed Fixed),DJ SERIAL
7362317730454308880,MILLION DOLLAR BABY,Tommy Richman
7130851233094568731,Gwiyomi Song,Hari
7227623804904885038,Solo,Future
6967418269091269382,Thrill of It (INFECTED VERSION),FCKSURGE
7360693161598946094,My Planet Needs Me,Geometric Serious
7343034830923401218,Talk My Shit,Bossman Dlow
6873501791145691137,Inspiring Triumphant Trailer,Veaceslav Draganov
7268544136268679170,Lil Boo Thang,Paul Russell
7153053709545556778,Teen Titans Gm,GraphicMuzik
7316470685620472582,Unreleased (Slowed Fixed),DJ SERIAL
7364894202838256426,G.O.A.T,Simon Jewell
7341815919815166725,LET THE WORLD BURN (Sped Up),Chris Grey
